City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
133,lichtenfels,0,DE,1555802658,50,50.15,11.06,55.0,4.92
134,uige,98,AO,1555802664,97,-7.61,15.06,70.08,2.21
135,ilulissat,57,GL,1555800600,53,69.22,-51.1,24.8,5.82
136,chilliwack,20,CA,1555802497,48,49.17,-121.95,66.99,10.29
137,castro,90,CL,1555797600,81,-42.48,-73.76,50.0,6.93
138,jamsa,0,FI,1555802569,100,61.86,25.19,30.2,4.7
139,hermanus,82,ZA,1555802219,72,-34.42,19.24,61.0,8.01
140,koutiala,37,ML,1555802664,27,12.39,-5.46,93.88,6.02
141,tromso,75,NO,1555802400,75,69.65,18.96,44.6,33.33
142,herat,7,AF,1555802664,76,34.35,62.22,53.79,22.55
143,ferkessedougou,40,CI,1555802665,62,9.6,-5.2,83.92,2.82
144,vieques,75,PR,1555802617,74,18.43,-65.83,80.6,15.55
145,lagoa,0,PT,1555802542,59,37.14,-8.45,62.6,11.41
146,trogir,0,HR,1555802467,26,43.52,16.25,60.8,2.24
147,carbonia,75,IT,1555802156,82,39.17,8.53,62.6,10.29
148,ossora,65,RU,1555802666,63,59.24,163.07,37.12,2.17
149,anadyr,75,RU,1555802589,85,64.73,177.51,12.0,11.18
150,tarrafal,20,CV,1555801200,68,15.28,-23.77,71.6,13.87
151,tiksi,99,RU,1555802311,77,71.64,128.87,13.11,13.2
152,isangel,90,VU,1555797600,88,-19.55,169.27,78.8,13.87
153,leningradskiy,100,RU,1555802324,85,69.38,178.42,10.19,15.73
154,huayucachi,98,PE,1555802666,73,-12.13,-75.23,44.41,3.6
155,canto do buriti,80,BR,1555802666,87,-8.11,-42.94,75.44,2.77
156,tinsukia,82,IN,1555802666,87,27.49,95.36,67.43,4.99
157,alofi,78,NU,1555797600,65,-19.06,-169.92,80.6,25.28
158,paamiut,100,GL,1555802303,94,61.99,-49.67,31.96,18.23
159,ambon,0,FR,1555802652,76,47.55,-2.56,60.8,11.41
